Source.Name,shape_left,shape_right,probability_left,probability_right,address_left,address_right,difficulty,shape_left_es,shape_right_es,probability_left_es,probability_right_es,address_left_es,address_right_es,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_es.thisRepN,trials_es.thisTrialN,trials_es.thisN,trials_es.thisIndex,image_back.started,image_welcome.started,Text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_back2.started,image_instruct1.started,text_3.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_back3.started,image_instruct2.started,text_4.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,image_background.started,image_left.started,image_right.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,chosen_side,chosen_probability,chosen_shape,outcome_left,outcome_right,chosen_outcome,image_background2.started,text.started,image_retained.started,image_back4.started,key_resp_4.started,image_instruct3.started,text_5.started,key_resp_4.keys,key_resp_4.rt,image_background3.started,image_left_es.started,image_right_es.started,mouse_es.started,mouse_es.x,mouse_es.y,mouse_es.leftButton,mouse_es.midButton,mouse_es.rightButton,mouse_es.clicked_name,chosen_side_es,chosen_probability_es,chosen_shape_es,outcome_left_es,outcome_right_es,chosen_outcome_es,image_background4.started,text_2.started.1,image_background4.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,Column1
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,,,,,,,,,,,,,,,,,,,,,,,,,,43.03451498,43.03451498,43.03451498,43.03451498,space,2.209100227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29648234,45.29648234,45.29648234,45.29648234,space,1.667109993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99595169,46.99595169,46.99595169,46.99595169,space,2.408972339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,triangle,square,0.4,0.6,triangle.png,square.png,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48782286,49.90854932,49.90854932,0.507073869,-0.26,0.023333333,1,0,0,image_left,left,0.4,triangle,1,1,1,54.49810766,54.49810766,54.49810766,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,cross,circle,0.1,0.9,cross.png,circle.png,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,55.50414866,55.95964043,55.95964043,0.505730195,-0.313333333,-0.018888889,1,0,0,image_left,left,0.1,cross,-1,-1,-1,58.29241651,58.29241651,58.29241651,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,square,triangle,0.6,0.4,square.png,triangle.png,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,59.31128161,59.76640889,59.76640889,0.505499826,-0.313333333,-0.018888889,1,0,0,image_left,left,0.6,square,-1,-1,-1,61.50442505,61.50442505,61.50442505,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,circle,cross,0.9,0.1,circle.png,cross.png,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,62.51168449,62.98084822,62.98084822,0.501953564,-0.313333333,-0.018888889,1,0,0,image_left,left,0.9,circle,1,-1,1,64.27040596,64.27040596,64.27040596,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,triangle,square,0.4,0.6,triangle.png,square.png,,,,,,,,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.28187477,65.74319147,65.74319147,0.508629769,-0.313333333,-0.018888889,1,0,0,image_left,left,0.4,triangle,1,1,1,69.47703083,69.47703083,69.47703083,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,cross,circle,0.1,0.9,cross.png,circle.png,,,,,,,,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,70.49835781,70.95074853,70.95074853,0.50531956,0.241111111,-0.001111111,1,0,0,image_right,right,0.9,circle,-1,-1,-1,77.10388159,77.10388159,77.10388159,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,cross,circle,0.1,0.9,cross.png,circle.png,,,,,,,,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,78.11355929,78.57498501,78.57498501,0.506368291,0.242222222,-0.001111111,1,0,0,image_right,right,0.9,circle,-1,1,1,80.15084108,80.15084108,80.15084108,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
Anusha_EE_trial_2023-04-17_20h19.59.560.csv,circle,cross,0.9,0.1,circle.png,cross.png,,,,,,,,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1554807,81.62548017,81.62548017,0.510052067,-0.248888889,0.048888889,1,0,0,image_left,left,0.9,circle,1,-1,1,83.67420234,83.67420234,83.67420234,,,,,,,,,,,,,,,,,,,,,,,,,,,Anusha,2,2023-04-17_20h19.59.560,EE_trial,05-02-2022,None,
